lambda,R_lambda
3.380000000000001,5.90039403661036
3.4000000000000004,5.902318465726479
3.42,5.904206617180158
3.4399999999999995,5.906059140429596
3.460000000000001,5.907876674616085
3.4800000000000004,5.909659848677342
3.5,5.91140928146167
3.5199999999999996,5.913125581842869
3.540000000000001,5.914809348835757
3.5600000000000005,5.916461171712223
3.58,5.918081630117696
3.5999999999999996,5.919671294187949
3.620000000000001,5.921230724666132
3.6400000000000006,5.922760473019968
3.66,5.92426108155901
3.6799999999999997,5.92573308355189
3.700000000000001,5.927177003343489
3.7200000000000006,5.928593356471955
3.74,5.92998264978548
3.76,5.931345381558813
3.780000000000001,5.932682041609414
3.8000000000000007,5.9339931114132
3.8200000000000003,5.935279064219834
3.84,5.936540365167505
3.860000000000001,5.937777471397138
3.880000000000001,5.938990832165994
3.9000000000000004,5.940180888960639
3.92,5.941348075609192
3.9399999999999995,5.942492818392859
3.960000000000001,5.943615536156695
3.9800000000000004,5.9447166404195615
4.0,5.945796535483257
4.02,5.946855618540775
4.039999999999999,5.947894279783679
4.059999999999999,5.948912902508555
4.080000000000002,5.949911863222535
4.100000000000001,5.950891531747838
4.120000000000001,5.9518522713253486
4.140000000000001,5.952794438717186
4.16,5.953718384308253
4.18,5.95462445220676
4.199999999999999,5.955512980343689
4.219999999999999,5.9563843005712105
4.240000000000002,5.957238738760024
4.260000000000002,5.9580766148956155
4.280000000000001,5.958898243173428
4.300000000000001,5.959703932092942
4.32,5.960493984550634
4.34,5.961268697931852
4.359999999999999,5.962028364201549
4.379999999999999,5.962773269993933
4.399999999999999,5.963503696700969
4.420000000000002,5.964219920559776
4.440000000000001,5.964922212738906
4.460000000000001,5.9656108394234915
4.48,5.966286061899283
4.5,5.966948136635566
4.52,5.967597315366957
4.539999999999999,5.968233845174097
4.559999999999999,5.968857968563224
4.580000000000002,5.969469923544657
4.600000000000001,5.97006994371016
4.620000000000001,5.970658258309226
4.640000000000001,5.971235092324259
4.66,5.971800666544693
4.68,5.972355197640009
4.699999999999999,5.972898898231702
4.719999999999999,5.973431976964174
4.740000000000002,5.973954638574579
4.760000000000002,5.974467083961614
4.780000000000001,5.974969510253286
4.800000000000001,5.975462110873623
4.82,5.9759450756083945
4.84,5.9764185906698
4.859999999999999,5.976882838760161
4.879999999999999,5.97733799913461
4.899999999999999,5.977784247662828
4.920000000000002,5.9782217568897575
4.940000000000001,5.9786506960954
4.960000000000001,5.979071231353625
4.98,5.9794835255900685
5.0,5.979887738639058
5.02,5.980284027299659
5.039999999999999,5.980672545390772
5.059999999999999,5.981053443805355
5.080000000000002,5.981426870563745
5.100000000000001,5.98179297086609
5.120000000000001,5.982151887143936
5.140000000000001,5.982503759110928
5.16,5.982848723812691
5.18,5.983186915675855
5.199999999999999,5.983518466556261
5.219999999999999,5.983843505786348
5.240000000000002,5.984162160221751
5.260000000000002,5.984474554287086
5.280000000000001,5.984780810020966
5.300000000000001,5.985081047120244
5.32,5.9853753829834835
5.34,5.985663932753703
5.359999999999999,5.985946809360352
5.379999999999999,5.986224123560582
5.400000000000002,5.986495983979787
5.420000000000002,5.98676249715144
5.440000000000001,5.987023767556228
5.460000000000001,5.987279897660509
5.48,5.987530987954081
5.5,5.987777136987293
5.52,5.988018441407493
5.539999999999999,5.988254995994834
5.559999999999999,5.988486893697447
5.580000000000002,5.98871422566597
5.600000000000001,5.98893708128749
5.620000000000001,5.989155548218836
5.640000000000001,5.9893697124193235
