lambda,x,density
4.0,-1.1291291291291294,0.036493743284166824
4.0,-1.113113113113113,0.03543159386472526
4.0,-1.0970970970970972,0.03439195103273615
4.0,-1.0810810810810807,0.03337469529501904
4.0,-1.065065065065065,0.03237969479958943
4.0,-1.0490490490490494,0.0314068058928913
4.0,-1.0330330330330328,0.030455873677912623
4.0,-1.0170170170170172,0.029526732572407007
4.0,-1.0010010010010006,0.02861920686646972
4.0,-0.984984984984985,0.027733111278744324
4.0,-0.9689689689689693,0.02686825151055968
4.0,-0.9529529529529528,0.02602442479732747
4.0,-0.9369369369369371,0.025201420456555695
4.0,-0.9209209209209206,0.024399020431862088
4.0,-0.9049049049049049,0.023616999832400995
4.0,-0.8888888888888893,0.02285512746714322
4.0,-0.8728728728728727,0.02211316637347959
4.0,-0.8568568568568571,0.021390874339645892
4.0,-0.8408408408408405,0.02068800442049529
4.0,-0.8248248248248249,0.020004305446174812
4.0,-0.8088088088088092,0.019339522523287862
4.0,-0.7927927927927927,0.01869339752815546
4.0,-0.776776776776777,0.01806566959181512
4.0,-0.7607607607607605,0.01745607557642348
4.0,-0.7447447447447448,0.01686435054275734
4.0,-0.7287287287287292,0.016290228208531876
4.0,-0.7127127127127126,0.015733441397282794
4.0,-0.696696696696697,0.015193722477583048
4.0,-0.6806806806806804,0.014670803792389608
4.0,-0.6646646646646648,0.014164418078340527
4.0,-0.6486486486486491,0.013674298874844058
4.0,-0.6326326326326326,0.013200180922825743
4.0,-0.6166166166166169,0.012741800553019642
4.0,-0.6006006006006004,0.012298896063710733
4.0,-0.5845845845845847,0.011871208087856251
4.0,-0.5685685685685691,0.011458479949531046
4.0,-0.5525525525525525,0.011060458009661527
4.0,-0.5365365365365369,0.010676892001028738
4.0,-0.5205205205205203,0.010307535352537244
4.0,-0.5045045045045047,0.009952145502762248
4.0,-0.48848848848848814,0.00961048420280015
4.0,-0.4724724724724725,0.009282317808462141
4.0,-0.4564564564564568,0.008967417561861077
4.0,-0.4404404404404403,0.008665559862454042
4.0,-0.42442442442442463,0.008376526527612203
4.0,-0.4084084084084081,0.008100105042798577
4.0,-0.39239239239239243,0.007836088801442933
4.0,-0.3763763763763768,0.00758427733460897
4.0,-0.36036036036036023,0.0073444765305558666
4.0,-0.3443443443443446,0.0071164988443006795
4.0,-0.32832832832832803,0.006900163497292198
4.0,-0.3123123123123124,0.0066952966673103605
4.0,-0.2962962962962967,0.006501731668706945
4.0,-0.2802802802802802,0.006319309123105077
4.0,-0.2642642642642645,0.006147877120675305
4.0,-0.24824824824824798,0.0059872913721054554
4.0,-0.23223223223223233,0.005837415351380786
4.0,-0.21621621621621667,0.005698120429488342
4.0,-0.20020020020020013,0.005569285999157294
4.0,-0.18418418418418447,0.005450799590743282
4.0,-0.16816816816816793,0.005342556979360711
4.0,-0.15215215215215228,0.005244462283362531
4.0,-0.13613613613613662,0.0051564280542613
4.0,-0.12012012012012008,0.005078375358179863
4.0,-0.10410410410410442,0.005010233848913385
4.0,-0.08808808808808788,0.004951941832677653
4.0,-0.07207207207207222,0.004903446324611515
4.0,-0.05605605605605568,0.00486470309709339
4.0,-0.040040040040040026,0.004835676719924081
4.0,-0.02402402402402437,0.004816340592419721
4.0,-0.008008008008007828,0.004806676967450271
4.0,0.008008008008008716,0.004806676967450271
4.0,0.02402402402402437,0.004816340592419721
4.0,0.040040040040040026,0.004835676719924081
4.0,0.05605605605605568,0.00486470309709339
4.0,0.07207207207207134,0.004903446324611512
4.0,0.08808808808808877,0.0049519418326776565
4.0,0.10410410410410442,0.005010233848913385
4.0,0.12012012012012008,0.005078375358179863
4.0,0.13613613613613573,0.005156428054261296
4.0,0.1521521521521514,0.0052444622833625245
4.0,0.16816816816816882,0.005342556979360717
4.0,0.18418418418418447,0.005450799590743282
4.0,0.20020020020020013,0.005569285999157294
4.0,0.21621621621621578,0.005698120429488333
4.0,0.23223223223223144,0.00583741535138078
4.0,0.24824824824824887,0.005987291372105466
4.0,0.2642642642642645,0.006147877120675305
4.0,0.2802802802802802,0.006319309123105077
4.0,0.29629629629629584,0.006501731668706932
4.0,0.3123123123123115,0.006695296667310349
4.0,0.3283283283283289,0.006900163497292208
4.0,0.3443443443443446,0.0071164988443006795
4.0,0.36036036036036023,0.0073444765305558666
4.0,0.3763763763763759,0.007584277334608958
4.0,0.39239239239239154,0.007836088801442917
4.0,0.408408408408409,0.00810010504279859
4.0,0.42442442442442463,0.008376526527612203
4.0,0.4404404404404403,0.008665559862454042
4.0,0.45645645645645594,0.00896741756186106
4.0,0.4724724724724716,0.009282317808462124
4.0,0.488488488488489,0.00961048420280017
4.0,0.5045045045045047,0.009952145502762248
4.0,0.5205205205205203,0.010307535352537244
4.0,0.536536536536536,0.010676892001028717
4.0,0.5525525525525516,0.011060458009661503
4.0,0.5685685685685691,0.011458479949531046
4.0,0.5845845845845847,0.011871208087856251
4.0,0.6006006006006004,0.012298896063710733
4.0,0.616616616616616,0.012741800553019619
4.0,0.6326326326326317,0.013200180922825723
4.0,0.6486486486486491,0.013674298874844058
4.0,0.6646646646646648,0.014164418078340527
4.0,0.6806806806806804,0.014670803792389608
4.0,0.6966966966966961,0.015193722477583015
4.0,0.7127127127127117,0.015733441397282766
4.0,0.7287287287287292,0.016290228208531876
