schedule,sigma,mse,mode_error
cosine_vp_as_ve,14.985610010304342,4.540188789367676,0.51953125
cosine_vp_as_ve,16.499075733496387,4.407456398010254,0.49609375
cosine_vp_as_ve,18.16539332549472,4.235024452209473,0.478515625
cosine_vp_as_ve,19.999999999999996,4.468207359313965,0.486328125
linear_gamma_as_ve,0.010000000000000005,0.08458322286605835,0.0
linear_gamma_as_ve,0.01100994602298563,0.08962587267160416,0.0
linear_gamma_as_ve,0.012121891142905695,0.10827375203371048,0.0
linear_gamma_as_ve,0.013346136717989924,0.11273269355297089,0.0
linear_gamma_as_ve,0.01469402448804556,0.16348904371261597,0.0
linear_gamma_as_ve,0.01617804164738105,0.13920165598392487,0.0
linear_gamma_as_ve,0.01781193652952788,0.1157727837562561,0.0
linear_gamma_as_ve,0.019610845975494787,0.11618316173553467,0.0
linear_gamma_as_ve,0.02159143556552824,0.10139670968055725,0.0
linear_gamma_as_ve,0.023772054013523794,0.10202938318252563,0.0
linear_gamma_as_ve,0.02617290315443958,0.11846267431974411,0.001953125
linear_gamma_as_ve,0.028816225099520986,0.1436043679714203,0.0
linear_gamma_as_ve,0.03172650829319295,0.15193921327590942,0.0
linear_gamma_as_ve,0.03493071438058602,0.15793476998806,0.0
linear_gamma_as_ve,0.038458527987457976,0.1657925695180893,0.0
linear_gamma_as_ve,0.04234263172653941,0.14518314599990845,0.0
linear_gamma_as_ve,0.04661900897803576,0.1339978277683258,0.0
linear_gamma_as_ve,0.0513272772493256,0.13383889198303223,0.0
linear_gamma_as_ve,0.05651105520218928,0.13445860147476196,0.0
linear_gamma_as_ve,0.062218366747806474,0.11321258544921875,0.0
linear_gamma_as_ve,0.0685020859531673,0.11280648410320282,0.001953125
linear_gamma_as_ve,0.07542042688062935,0.09395408630371094,0.0
linear_gamma_as_ve,0.0830374828986263,0.10381289571523666,0.0
linear_gamma_as_ve,0.09142382045984675,0.08130863308906555,0.0
linear_gamma_as_ve,0.10065713284780411,0.08514735102653503,0.0
linear_gamma_as_ve,0.11082295994828163,0.08973914384841919,0.0
linear_gamma_as_ve,0.12201548071380787,0.08628243952989578,0.0
linear_gamma_as_ve,0.13433838566276676,0.07544732838869095,0.0
linear_gamma_as_ve,0.14790583749620875,0.07368303835391998,0.0
linear_gamma_as_ve,0.16284352873177418,0.06768036633729935,0.0
linear_gamma_as_ve,0.1792898461529342,0.06457456946372986,0.0
linear_gamma_as_ve,0.19739715286132026,0.07679270952939987,0.0
linear_gamma_as_ve,0.21733319980941776,0.06500101834535599,0.0
linear_gamma_as_ve,0.23928267989044386,0.08475442230701447,0.0
linear_gamma_as_ve,0.2634489389829135,0.0925283282995224,0.0
linear_gamma_as_ve,0.290055859801471,0.114711232483387,0.0
linear_gamma_as_ve,0.3193499360064882,0.1189836785197258,0.0
linear_gamma_as_ve,0.35160255578753474,0.11651545017957687,0.0
linear_gamma_as_ve,0.3871125160764548,0.12878544628620148,0.0
linear_gamma_as_ve,0.4262087906823923,0.14175745844841003,0.0
linear_gamma_as_ve,0.46925357799351164,0.17464464902877808,0.00390625
linear_gamma_as_ve,0.5166456564801436,0.19372794032096863,0.0
