schedule,seed,sigma,mse,bayes_mse,excess_mse,mode_error
linear_gamma_as_ve,20260526,0.12201548071380787,0.024397321045398712,0.01426871307194233,0.009647869504988194,0.000244140625
linear_gamma_as_ve,20260526,0.13433838566276676,0.024251867085695267,0.0171445831656456,0.007375854067504406,0.000244140625
linear_gamma_as_ve,20260526,0.14790583749620875,0.02458697184920311,0.019826147705316544,0.004416844807565212,0.0
linear_gamma_as_ve,20260526,0.16284352873177418,0.027415527030825615,0.024120615795254707,0.003402543952688575,0.0
linear_gamma_as_ve,20260526,0.1792898461529342,0.03181406110525131,0.02778162620961666,0.003937883302569389,0.00048828125
linear_gamma_as_ve,20260526,0.19739715286132026,0.040592730045318604,0.034496936947107315,0.00583844818174839,0.0
linear_gamma_as_ve,20260526,0.21733319980941776,0.04781656712293625,0.03946719318628311,0.008005734533071518,0.000244140625
linear_gamma_as_ve,20260526,0.23928267989044386,0.05661958456039429,0.04744911193847656,0.008949590846896172,0.0
linear_gamma_as_ve,20260526,0.2634489389829135,0.06505855172872543,0.05554589629173279,0.008712205104529858,0.00048828125
linear_gamma_as_ve,20260526,0.290055859801471,0.07006609439849854,0.06406278908252716,0.006493557244539261,0.00048828125
linear_gamma_as_ve,20260526,0.3193499360064882,0.08026514202356339,0.0757552832365036,0.004087880253791809,0.000732421875
linear_gamma_as_ve,20260526,0.35160255578753474,0.08466646075248718,0.08146330714225769,0.003016464877873659,0.000244140625
linear_gamma_as_ve,20260526,0.3871125160764548,0.09979365020990372,0.09704311192035675,0.0031938590109348297,0.00048828125
linear_gamma_as_ve,20260526,0.4262087906823923,0.11062902212142944,0.10654859244823456,0.003886685473844409,0.00146484375
linear_gamma_as_ve,20260526,0.46925357799351164,0.12946508824825287,0.12454377114772797,0.005082518793642521,0.001953125
linear_gamma_as_ve,20260526,0.5166456564801436,0.14404383301734924,0.14121131598949432,0.005805701017379761,0.002685546875
linear_gamma_as_ve,20260526,0.5688240790856355,0.16422930359840393,0.1584998369216919,0.0058174836449325085,0.003662109375
linear_gamma_as_ve,20260526,0.6262722407307354,0.18798239529132843,0.18181656301021576,0.005102227907627821,0.006103515625
linear_gamma_as_ve,20260526,0.6895223566139651,0.22704443335533142,0.2209252119064331,0.005644509568810463,0.01220703125
linear_gamma_as_ve,20260526,0.7591603927961601,0.2707247734069824,0.265751451253891,0.006957956589758396,0.01513671875
linear_gamma_as_ve,20260526,0.8358314947474289,0.328738272190094,0.32339364290237427,0.008028779178857803,0.02001953125
linear_gamma_as_ve,20260526,0.9202459641480578,0.396479070186615,0.3843282461166382,0.010733770206570625,0.029296875
linear_gamma_as_ve,20260526,1.0131858393140483,0.5010215044021606,0.48945116996765137,0.014118481427431107,0.03955078125
linear_gamma_as_ve,20260526,1.1155121402101058,0.6604185104370117,0.6450485587120056,0.01667310670018196,0.055419921875
linear_gamma_as_ve,20260526,1.2281728451698428,0.744941234588623,0.7317624688148499,0.015262510627508163,0.05908203125
linear_gamma_as_ve,20260526,1.3522116732216651,0.9866942167282104,0.979357123374939,0.01263277418911457,0.077392578125
linear_gamma_as_ve,20260526,1.4887777533821611,1.1773900985717773,1.1649465560913086,0.0105827571824193,0.1025390625
linear_gamma_as_ve,20260526,1.6391362704959387,1.3804594278335571,1.367811679840088,0.008494289591908455,0.125244140625
linear_gamma_as_ve,20260526,1.804680186247825,1.6527085304260254,1.645385503768921,0.007203121203929186,0.143798828125
linear_gamma_as_ve,20260526,1.9869431439340202,1.9273875951766968,1.9168651103973389,0.008419203571975231,0.168701171875
linear_gamma_as_ve,20260526,2.18761367654549,2.0964670181274414,2.081702947616577,0.012644238770008087,0.183349609375
linear_gamma_as_ve,20260526,2.4085508497910983,2.3695569038391113,2.3591485023498535,0.01737535558640957,0.2021484375
linear_gamma_as_ve,20260526,2.651801484981615,2.647435188293457,2.625523567199707,0.0199564378708601,0.2275390625
linear_gamma_as_ve,20260526,2.9196191213320715,2.808605432510376,2.795206069946289,0.018369106575846672,0.249267578125
linear_gamma_as_ve,20260526,3.21448489335428,3.066405773162842,3.044053316116333,0.016373565420508385,0.27978515625
linear_gamma_as_ve,20260526,3.5391305167533327,3.118040084838867,3.100538969039917,0.016818810254335403,0.283203125
linear_gamma_as_ve,20260526,3.896563595775542,3.3011982440948486,3.2562856674194336,0.018773172050714493,0.293212890625
linear_gamma_as_ve,20260526,4.290095486461946,3.5515732765197754,3.5367543697357178,0.020061500370502472,0.331298828125
linear_gamma_as_ve,20260526,4.723371973940028,3.638720750808716,3.6119227409362793,0.024026092141866684,0.34375
linear_gamma_as_ve,20260526,5.200407047956278,3.6616172790527344,3.6289215087890625,0.03238540142774582,0.3466796875
linear_gamma_as_ve,20260526,5.72562008955526,3.7142224311828613,3.6848318576812744,0.03899936378002167,0.354248046875
linear_gamma_as_ve,20260526,6.303876813412554,3.846388101577759,3.8144123554229736,0.03811318427324295,0.375732421875
linear_gamma_as_ve,20260526,6.940534345122285,3.9519124031066895,3.9275426864624023,0.0327741764485836,0.390625
linear_gamma_as_ve,20260526,7.6414908510474175,3.9887208938598633,3.963465929031372,0.028893891721963882,0.4052734375
linear_gamma_as_ve,20260526,8.413240180517057,4.029722213745117,3.9974863529205322,0.028785621747374535,0.41943359375
